Date,YAHOO/INDEX_IBEX - Adjusted Close_x,YAHOO/INDEX_DJI - Adjusted Close,YAHOO/INDEX_STOXX50E - Adjusted Close,YAHOO/INDEX_N225 - Adjusted Close,YAHOO/INDEX_FCHI - Adjusted Close,YAHOO/INDEX_GDAXI - Adjusted Close,YAHOO/INDEX_IBEX - Adjusted Close_y
2005-12-05,10532.088937,10835.009766,3499.4,15551.30957,4650.540039,5266.859863,10539.289125
2005-12-06,10539.289125,10856.860352,3516.84,15423.379883,4677.200195,5300.850098,10506.588963
2005-12-07,10506.588963,10810.910156,3505.34,15484.660156,4660.580078,5266.75,10495.78917
2005-12-08,10495.78917,10755.120117,3510.38,15183.360352,4669.930176,5286.75,10489.289176
2005-12-09,10489.289176,10778.580078,3500.8,15404.049805,4661.009766,5282.129883,10539.98932
2005-12-12,10539.98932,10767.769531,3514.07,15738.700195,4673.129883,5301.209961,10533.588936
2005-12-13,10533.588936,10823.719727,3528.34,15778.860352,4693.399902,5310.279785,10502.389749
2005-12-14,10502.389749,10883.509766,3519.12,15464.580078,4674.850098,5286.759766,10483.489377
2005-12-15,10483.489377,10881.669922,3522.3,15254.44043,4673.140137,5295.819824,10555.289109
2005-12-16,10555.289109,10875.589844,3556.76,15173.070312,4704.410156,5353.660156,10528.289137
2005-12-19,10528.289137,10836.530273,3551.1,15391.480469,4694.859863,5350.180176,10572.289092
2005-12-20,10572.289092,10805.549805,3561.11,15641.259766,4703.47998,5356.600098,10682.689371
2005-12-21,10682.689371,10833.730469,3591.94,15957.570312,4752.410156,5397.22998,10701.288961
2005-12-22,10701.288961,10889.44043,3591.02,15941.370117,4751.959961,5398.279785,10723.889524
2005-12-23,10723.889524,10883.269531,3599.47,,4757.740234,5419.049805,
2005-12-26,,,,16107.669922,,,10772.68928
2005-12-27,10772.68928,10777.769531,3612.21,15969.400391,4769.379883,5444.839844,10769.489087
2005-12-28,10769.489087,10796.259766,3605.12,16194.610352,4756.930176,5447.149902,10778.088688
2005-12-29,10778.088688,10784.820312,3616.33,16344.200195,4772.930176,5458.580078,10733.889514
2005-12-30,10733.889514,10717.5,3578.93,16111.429688,4715.22998,5408.259766,10786.689265
2006-01-02,10786.689265,,3604.33,,4754.919922,5449.97998,10818.088648
2006-01-03,10818.088648,10847.410156,3614.34,,4776.97998,5460.680176,10895.788764
2006-01-04,10895.788764,10880.150391,3652.46,16361.540039,4838.52002,5523.620117,10913.588551
2006-01-05,10913.588551,10882.150391,3650.24,16425.369141,4835.089844,5516.529785,10913.588551
2006-01-06,10913.588551,10959.30957,3666.99,16428.210938,4867.149902,5536.319824,10962.488892
2006-01-09,10962.488892,11011.900391,3671.78,,4875.089844,5537.109863,10869.889376
2006-01-10,10869.889376,11011.580078,3644.94,16124.349609,4861.930176,5494.709961,10966.189083
2006-01-11,10966.189083,11043.44043,3668.61,16363.589844,4890.490234,5532.890137,10955.788703
2006-01-12,10955.788703,10962.360352,3670.2,16445.189453,4890.240234,5542.129883,10850.689201
2006-01-13,10850.689201,10959.870117,3629.25,16454.949219,4850.529785,5483.089844,10898.389348
2006-01-16,10898.389348,,3644.41,16268.030273,4856.089844,5514.640137,10806.288855
2006-01-17,10806.288855,10896.320312,3610.06,15805.950195,4807.140137,5460.160156,10708.088759
2006-01-18,10708.088759,10854.860352,3570.17,15341.179688,4772.089844,5395.609863,10821.489035
2006-01-19,10821.489035,10880.709961,3593.22,15696.280273,4814.089844,5430.839844,10740.889507
