@relation "5DayNormal"

@attribute Date DATE "yy-MM-dd"
@attribute Ibex5 NUMERIC
@attribute DowJones5 NUMERIC
@attribute Stoxx5 NUMERIC
@attribute Nikkei5 NUMERIC
@attribute Francia5 NUMERIC
@attribute Alemania5 NUMERIC
@attribute Ibex4 NUMERIC
@attribute DowJones4 NUMERIC
@attribute Stoxx4 NUMERIC
@attribute Nikkei4 NUMERIC
@attribute Francia4 NUMERIC
@attribute Alemania4 NUMERIC
@attribute Ibex3 NUMERIC
@attribute DowJones3 NUMERIC
@attribute Stoxx3 NUMERIC
@attribute Nikkei3 NUMERIC
@attribute Francia3 NUMERIC
@attribute Alemania3 NUMERIC
@attribute Ibex2 NUMERIC
@attribute DowJones2 NUMERIC
@attribute Stoxx2 NUMERIC
@attribute Nikkei2 NUMERIC
@attribute Francia2 NUMERIC
@attribute Alemania2 NUMERIC
@attribute Ibex1 NUMERIC
@attribute DowJones1 NUMERIC
@attribute Stoxx1 NUMERIC
@attribute Nikkei1 NUMERIC
@attribute Francia1 NUMERIC
@attribute Alemania1 NUMERIC
@attribute Close {0.0, 1.0}

@data
2000-02-18,12368.0,10219.519531,5079.59,19789.029297,6062.720215,7573.779785,12260.299805,10219.519531,5033.33,19543.75,5967.279785,7590.529785,12076.900391,10304.839844,5024.05,19390.580078,5963.310059,7607.939941,12312.299805,10225.730469,5086.0,19519.550781,6031.25,7698.970215,12352.299805,10092.629883,5117.41,19571.439453,6078.779785,7640.529785,1.0
2000-02-21,12260.299805,10219.519531,5033.33,19543.75,5967.279785,7590.529785,12076.900391,10304.839844,5024.05,19390.580078,5963.310059,7607.939941,12312.299805,10225.730469,5086.0,19519.550781,6031.25,7698.970215,12352.299805,10092.629883,5117.41,19571.439453,6078.779785,7640.529785,12690.900391,9862.120117,5208.87,19817.880859,6188.640136999999,7738.680176000001,0.0
2000-02-22,12076.900391,10304.839844,5024.05,19390.580078,5963.310059,7607.939941,12312.299805,10225.730469,5086.0,19519.550781,6031.25,7698.970215,12352.299805,10092.629883,5117.41,19571.439453,6078.779785,7640.529785,12690.900391,9862.120117,5208.87,19817.880859,6188.640136999999,7738.680176000001,12467.0,10038.650391,5126.33,19720.099609,6102.72998,7587.129883,1.0
2000-02-23,12312.299805,10225.730469,5086.0,19519.550781,6031.25,7698.970215,12352.299805,10092.629883,5117.41,19571.439453,6078.779785,7640.529785,12690.900391,9862.120117,5208.87,19817.880859,6188.640136999999,7738.680176000001,12467.0,10038.650391,5126.33,19720.099609,6102.72998,7587.129883,12585.799805,10128.30957,5182.62,19959.519531,6190.959961,7644.549805,0.0
2000-02-24,12352.299805,10092.629883,5117.41,19571.439453,6078.779785,7640.529785,12690.900391,9862.120117,5208.87,19817.880859,6188.640136999999,7738.680176000001,12467.0,10038.650391,5126.33,19720.099609,6102.72998,7587.129883,12585.799805,10128.30957,5182.62,19959.519531,6190.959961,7644.549805,12538.700195,10137.929688,5235.14,20081.669922,6256.319824,7727.930176000001,1.0
2000-02-25,12690.900391,9862.120117,5208.87,19817.880859,6188.640136999999,7738.680176000001,12467.0,10038.650391,5126.33,19720.099609,6102.72998,7587.129883,12585.799805,10128.30957,5182.62,19959.519531,6190.959961,7644.549805,12538.700195,10137.929688,5235.14,20081.669922,6256.319824,7727.930176000001,12709.599609,10164.919922,5406.37,20065.109375,6477.549805,7945.77002,1.0
2000-02-28,12467.0,10038.650391,5126.33,19720.099609,6102.72998,7587.129883,12585.799805,10128.30957,5182.62,19959.519531,6190.959961,7644.549805,12538.700195,10137.929688,5235.14,20081.669922,6256.319824,7727.930176000001,12709.599609,10164.919922,5406.37,20065.109375,6477.549805,7945.77002,12745.0,10367.200195,5450.22,19927.539062,6514.109863000001,7960.029785,1.0
2000-02-29,12585.799805,10128.30957,5182.62,19959.519531,6190.959961,7644.549805,12538.700195,10137.929688,5235.14,20081.669922,6256.319824,7727.930176000001,12709.599609,10164.919922,5406.37,20065.109375,6477.549805,7945.77002,12745.0,10367.200195,5450.22,19927.539062,6514.109863000001,7960.029785,12816.799805,10170.5,5464.43,19796.349609,6545.97998,7975.779785,0.0
2000-03-01,12538.700195,10137.929688,5235.14,20081.669922,6256.319824,7727.930176000001,12709.599609,10164.919922,5406.37,20065.109375,6477.549805,7945.77002,12745.0,10367.200195,5450.22,19927.539062,6514.109863000001,7960.029785,12816.799805,10170.5,5464.43,19796.349609,6545.97998,7975.779785,12667.200195,9796.030273,5426.36,19944.240234,6441.850098,8064.970215,1.0
2000-03-02,12709.599609,10164.919922,5406.37,20065.109375,6477.549805,7945.77002,12745.0,10367.200195,5450.22,19927.539062,6514.109863000001,7960.029785,12816.799805,10170.5,5464.43,19796.349609,6545.97998,7975.779785,12667.200195,9796.030273,5426.36,19944.240234,6441.850098,8064.970215,12668.299805,9856.530273,5364.52,19766.800781,6344.970215,7987.0,0.0
2000-03-03,12745.0,10367.200195,5450.22,19927.539062,6514.109863000001,7960.029785,12816.799805,10170.5,5464.43,19796.349609,6545.97998,7975.779785,12667.200195,9796.030273,5426.36,19944.240234,6441.850098,8064.970215,12668.299805,9856.530273,5364.52,19766.800781,6344.970215,7987.0,12563.200195,10010.730469,5352.88,19662.330078,6423.430176,7949.149901999999,0.0
2000-03-06,12816.799805,10170.5,5464.43,19796.349609,6545.97998,7975.779785,12667.200195,9796.030273,5426.36,19944.240234,6441.850098,8064.970215,12668.299805,9856.530273,5364.52,19766.800781,6344.970215,7987.0,12563.200195,10010.730469,5352.88,19662.330078,6423.430176,7949.149901999999,12513.700195,9928.820312,5416.81,19750.400391,6510.279785,7975.950195,0.0
